Nombre de lots|Surface reelle bati|Nombre pieces principales|Surface terrain
0|100.0|4.0|500.0
0|100.0|4.0|754.0
0|100.0|4.0|258.0
0|100.0|3.0|1113.0
0|100.0|3.0|1000.0
1|81.0|5.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
0|66.0|4.0|468.0
1|84.0|5.0|1055.3339192336423
0|0.0|0.0|4749.0
0|78.0|4.0|4749.0
0|78.0|4.0|4749.0
0|83.0|4.0|4749.0
0|0.0|0.0|4749.0
0|78.0|4.0|4749.0
0|0.0|0.0|4749.0
0|0.0|0.0|4749.0
0|78.0|3.0|539.0
0|158.0|5.0|181.0
1|18.0|0.0|1055.3339192336423
1|66.0|3.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|35.0|2.0|1055.3339192336423
1|42.0|2.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|37.0|2.0|1055.3339192336423
2|50.0|2.0|1055.3339192336423
1|66.0|3.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|67.0|3.0|1055.3339192336423
0|178.0|5.0|1096.0
1|0.0|0.0|1055.3339192336423
1|52.0|2.0|1055.3339192336423
0|79.0|3.0|68.0
0|110.0|4.0|136.0
1|94.0|4.0|1055.3339192336423
1|70.0|3.0|1055.3339192336423
0|71.0|4.0|370.0
1|0.0|0.0|1055.3339192336423
2|205.0|5.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|168.0|4.0|1055.3339192336423
1|85.0|4.0|1055.3339192336423
1|19.0|1.0|1055.3339192336423
1|32.0|2.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
0|109.0|4.0|475.0
1|0.0|0.0|1055.3339192336423
1|22.0|2.0|1055.3339192336423
1|57.0|2.0|1055.3339192336423
1|32.0|1.0|1055.3339192336423
1|48.0|3.0|124.0
1|30.0|1.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
0|96.0|6.0|847.0
1|76.0|4.0|1055.3339192336423
0|95.0|4.0|494.0
1|35.0|2.0|1055.3339192336423
1|43.0|2.0|1055.3339192336423
1|174.0|0.0|1055.3339192336423
0|103.0|4.0|607.0
1|55.0|3.0|1055.3339192336423
0|79.0|4.0|173.0
0|142.0|5.0|129.0
2|79.0|4.0|1055.3339192336423
1|86.0|4.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|30.0|2.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
2|95.0|4.0|1055.3339192336423
0|60.0|3.0|116.0
1|0.0|0.0|1055.3339192336423
2|104.0|4.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|58.0|2.0|1055.3339192336423
0|179.0|5.0|1304.0
0|88.0|3.0|164.0
0|81.0|4.0|147.0
0|120.0|4.0|96.0
0|97.0|4.0|358.0
1|0.0|0.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|51.0|2.0|1055.3339192336423
0|160.0|6.0|215.0
2|33.0|2.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
2|92.0|3.0|1055.3339192336423
1|100.0|4.0|116.0
1|53.0|3.0|1055.3339192336423
2|67.0|4.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|46.0|2.0|1055.3339192336423
0|89.0|4.0|103.0
1|34.0|1.0|1055.3339192336423
0|100.0|5.0|628.0
1|45.0|2.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|102.0|0.0|1055.3339192336423
0|122.0|4.0|225.0
0|92.0|4.0|884.0
0|133.0|4.0|558.0
1|39.0|1.0|1055.3339192336423
0|93.0|5.0|211.0
0|35.0|1.0|282.0
0|150.0|5.0|314.0
1|0.0|0.0|1055.3339192336423
1|68.0|3.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|67.0|3.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
2|56.0|2.0|1055.3339192336423
1|86.0|4.0|1055.3339192336423
1|49.0|2.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
0|98.0|0.0|79.0
0|97.0|4.0|79.0
1|39.0|1.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
0|110.0|5.0|573.0
1|0.0|0.0|1055.3339192336423
1|51.0|3.0|1055.3339192336423
0|95.0|4.0|206.0
0|0.0|0.0|11.0
0|0.0|0.0|11.0
1|61.0|3.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
0|135.0|4.0|803.0
0|108.0|5.0|489.0
1|0.0|0.0|1055.3339192336423
1|43.0|2.0|1055.3339192336423
0|95.0|4.0|929.0
0|90.0|3.0|250.0
0|105.0|5.0|419.0
1|25.0|2.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|51.0|3.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
0|80.0|4.0|247.0
2|18.0|1.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|55.0|3.0|1055.3339192336423
0|190.0|6.0|1468.0
1|0.0|0.0|1055.3339192336423
1|46.0|2.0|1055.3339192336423
0|146.0|3.0|808.0
0|60.0|3.0|116.0
1|65.0|3.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|25.0|1.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|67.0|3.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|67.0|3.0|1055.3339192336423
2|117.0|5.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
1|59.0|2.0|1055.3339192336423
1|0.0|0.0|1055.3339192336423
0|105.0|5.0|649.0
0|140.0|6.0|84.0
1|0.0|0.0|1055.3339192336423
